STATIONS_ID;MESS_DATUM;QN_7;SD_SO;eor
        403;2017011704;   10;  0.00;eor
        403;2017011705;   10;  0.00;eor
        403;2017011706;   10;  0.00;eor
        403;2017011707;   10;  0.00;eor
        403;2017011708;   10; 18.00;eor
        403;2017011709;   10; 60.00;eor
        403;2017011710;   10; 60.00;eor
        403;2017011711;   10; 60.00;eor
        403;2017011712;   10; 60.00;eor
        403;2017011713;   10; 60.00;eor
        403;2017011714;   10; 60.00;eor
        403;2017011715;   10; 60.00;eor
        403;2017011716;   10; 28.00;eor
        403;2017011717;   10;  0.00;eor
        403;2017011718;   10;  0.00;eor
        403;2017011719;   10;  0.00;eor
        403;2017011720;   10;  0.00;eor
        403;2017011803;   10;  0.00;eor
        403;2017011804;   10;  0.00;eor
        403;2017011805;   10;  0.00;eor
        403;2017011806;   10;  0.00;eor
        403;2017011807;   10;  0.00;eor
        403;2017011808;   10;  0.00;eor
        403;2017011809;   10;  0.00;eor
        403;2017011810;   10;  0.00;eor
        403;2017011811;   10;  0.00;eor
        403;2017011812;   10;  0.00;eor
        403;2017011813;   10;  0.00;eor
        403;2017011814;   10;  0.00;eor
        403;2017011815;   10;  0.00;eor
        403;2017011816;   10;  0.00;eor
        403;2017011817;   10;  0.00;eor
        403;2017011818;   10;  0.00;eor
        403;2017011819;   10;  0.00;eor
        403;2017011820;   10;  0.00;eor
        403;2017011903;   10;  0.00;eor
        403;2017011904;   10;  0.00;eor
        403;2017011905;   10;  0.00;eor
        403;2017011906;   10;  0.00;eor
        403;2017011907;   10;  0.00;eor
        403;2017011908;   10;  0.00;eor
        403;2017011909;   10;  0.00;eor
        403;2017011910;   10;  0.00;eor
        403;2017011911;   10;  0.00;eor
        403;2017011912;   10;  0.00;eor
        403;2017011913;   10;  0.00;eor
        403;2017011914;   10;  0.00;eor
        403;2017011915;   10;  0.00;eor
        403;2017011916;   10;  0.00;eor
        403;2017011917;   10;  0.00;eor
        403;2017011918;   10;  0.00;eor
        403;2017011919;   10;  0.00;eor
        403;2017011920;   10;  0.00;eor
        403;2017012003;   10;  0.00;eor
        403;2017012004;   10;  0.00;eor
        403;2017012005;   10;  0.00;eor
        403;2017012006;   10;  0.00;eor
        403;2017012007;   10;  0.00;eor
        403;2017012008;   10;  0.00;eor
        403;2017012009;   10;  0.00;eor
        403;2017012010;   10;  0.00;eor
        403;2017012011;   10;  0.00;eor
        403;2017012012;   10;  0.00;eor
        403;2017012013;   10;  0.00;eor
        403;2017012014;   10;  0.00;eor
        403;2017012015;   10;  0.00;eor
        403;2017012016;   10;  0.00;eor
        403;2017012017;   10;  0.00;eor
        403;2017012018;   10;  0.00;eor
        403;2017012019;   10;  0.00;eor
        403;2017012020;   10;  0.00;eor
        403;2017012103;   10;  0.00;eor
        403;2017012104;   10;  0.00;eor
        403;2017012105;   10;  0.00;eor
        403;2017012106;   10;  0.00;eor
        403;2017012107;   10;  0.00;eor
        403;2017012108;   10;  0.00;eor
        403;2017012109;   10;  0.00;eor
        403;2017012110;   10;  0.00;eor
        403;2017012111;   10;  0.00;eor
        403;2017012112;   10;  0.00;eor
        403;2017012113;   10;  0.00;eor
        403;2017012114;   10;  0.00;eor
        403;2017012115;   10;  0.00;eor
        403;2017012116;   10;  0.00;eor
        403;2017012117;   10;  0.00;eor
        403;2017012118;   10;  0.00;eor
        403;2017012119;   10;  0.00;eor
        403;2017012120;   10;  0.00;eor
        403;2017012203;   10;  0.00;eor
        403;2017012204;   10;  0.00;eor
        403;2017012205;   10;  0.00;eor
        403;2017012206;   10;  0.00;eor
        403;2017012207;   10;  0.00;eor
        403;2017012208;   10;  2.00;eor
        403;2017012209;   10; 29.00;eor
        403;2017012210;   10; 60.00;eor
        403;2017012211;   10; 60.00;eor
        403;2017012212;   10; 60.00;eor
        403;2017012213;   10; 60.00;eor
        403;2017012214;   10; 60.00;eor
        403;2017012215;   10; 60.00;eor
        403;2017012216;   10; 29.00;eor
        403;2017012217;   10;  0.00;eor
        403;2017012218;   10;  0.00;eor
        403;2017012219;   10;  0.00;eor
        403;2017012220;   10;  0.00;eor
        403;2017012303;   10;  0.00;eor
        403;2017012304;   10;  0.00;eor
        403;2017012305;   10;  0.00;eor
        403;2017012306;   10;  0.00;eor
        403;2017012307;   10;  0.00;eor
        403;2017012308;   10;  0.00;eor
        403;2017012309;   10;  0.00;eor
        403;2017012310;   10;  0.00;eor
        403;2017012311;   10;  0.00;eor
        403;2017012312;   10;  0.00;eor
        403;2017012313;   10;  0.00;eor
        403;2017012314;   10;  0.00;eor
        403;2017012315;   10;  0.00;eor
        403;2017012316;   10;  0.00;eor
        403;2017012317;   10;  0.00;eor
        403;2017012318;   10;  0.00;eor
        403;2017012319;   10;  0.00;eor
        403;2017012320;   10;  0.00;eor
        403;2017012403;   10;  0.00;eor
        403;2017012404;   10;  0.00;eor
        403;2017012405;   10;  0.00;eor
        403;2017012406;   10;  0.00;eor
        403;2017012407;   10;  0.00;eor
        403;2017012408;   10;  0.00;eor
        403;2017012409;   10;  0.00;eor
        403;2017012410;   10;  0.00;eor
        403;2017012411;   10;  0.00;eor
        403;2017012412;   10;  0.00;eor
        403;2017012413;   10;  0.00;eor
        403;2017012414;   10;  0.00;eor
        403;2017012415;   10;  0.00;eor
        403;2017012416;   10;  0.00;eor
        403;2017012417;   10;  0.00;eor
        403;2017012418;   10;  0.00;eor
        403;2017012419;   10;  0.00;eor
        403;2017012420;   10;  0.00;eor
        403;2017012503;   10;  0.00;eor
        403;2017012504;   10;  0.00;eor
        403;2017012505;   10;  0.00;eor
        403;2017012506;   10;  0.00;eor
        403;2017012507;   10;  0.00;eor
        403;2017012508;   10;  0.00;eor
        403;2017012509;   10;  0.00;eor
        403;2017012510;   10;  0.00;eor
        403;2017012511;   10;  0.00;eor
        403;2017012512;   10;  0.00;eor
        403;2017012513;   10;  0.00;eor
        403;2017012514;   10;  0.00;eor
        403;2017012515;   10;  0.00;eor
        403;2017012516;   10;  0.00;eor
        403;2017012517;   10;  0.00;eor
        403;2017012518;   10;  0.00;eor
        403;2017012519;   10;  0.00;eor
        403;2017012520;   10;  0.00;eor
        403;2017012603;   10;  0.00;eor
        403;2017012604;   10;  0.00;eor
        403;2017012605;   10;  0.00;eor
        403;2017012606;   10;  0.00;eor
        403;2017012607;   10;  0.00;eor
        403;2017012608;   10; 23.00;eor
        403;2017012609;   10; 38.00;eor
        403;2017012610;   10; 37.00;eor
        403;2017012611;   10; 49.00;eor
        403;2017012612;   10; 31.00;eor
